Naziv,Cijena,Link,Izvor
Lenovo ThinkBook 14 G7 IML Ultra5 125U/16GB DDR5/512GB SSD/14inch WUXGA IPS/BacklitYU/NoOS/Grey,731.1,https://pc-gamer.me/p/Lenovo-ThinkBook-14-G7-IML-Ultra5-125U-16GB-DDR5-512GB-SSD-14inch-WUXGA-IPS-BacklitYU-NoOS-Grey--107353,PC-Gamer
Lenovo ThinkBook 16 G7 Ultra 5 125U/8GB DDR5/256GB/16inch WUXGA IPS/IntelUHD/BacklitYu/NoOS/ArcticGrey,731.1,https://pc-gamer.me/p/Lenovo-ThinkBook-16-G7-Ultra-5-125U-8GB-DDR5-256GB-16inch-WUXGA-IPS-IntelUHD-BacklitYu-NoOS-ArcticGrey--110256,PC-Gamer
Lenovo 83J3002ERM,737.5,https://pc-gamer.me/p/Lenovo-83J3002ERM--113148,PC-Gamer
ACER Aspire Go 15 15.3 inča WUXGA IPS i7-1355U 16GB 1TB crni,742.6,https://pc-gamer.me/p/ACER-Aspire-Go-15-15-3-in-a-WUXGA-IPS-i7-1355U-16GB-1TB-crni--110399,PC-Gamer
Dell Vostro 3530 i7-1355U/16GB/512GB/15.6inch FHD 120Hz/IntelIris/Yu/NoOS,742.6,https://pc-gamer.me/p/Dell-Vostro-3530-i7-1355U-16GB-512GB-15-6inch-FHD-120Hz-IntelIris-Yu-NoOS--110320,PC-Gamer
HP 15-fd0018nm Intel Core i7-1355U/512GB/16GB/15.6 FHD/Integrated/NoOS/Natural Silver,743.9,https://pc-gamer.me/p/HP-15-fd0018nm-Intel-Core-i7-1355U-512GB-16GB-15-6-FHD-Integrated-NoOS-Natural-Silver--111943,PC-Gamer
DELL OEM Vostro 3530 15.6 inch FHD 120Hz i7-1355U 16GB 512G,744.0,https://pc-gamer.me/p/DELL-OEM-Vostro-3530-15-6-inch-FHD-120Hz-i7-1355U-16GB-512G--105160,PC-Gamer
ACER A515-58GM-55V7,749.0,https://pc-gamer.me/p/ACER-A515-58GM-55V7--105095,PC-Gamer
HP Pavilion 15-eh3025nm 9J528EA,753.0,https://pc-gamer.me/p/HP-Pavilion-15-eh3025nm-9J528EA--110881,PC-Gamer
Lenovo V15 G4 IRU i7-13620H/1TB/8GB/UHDGraphics/15.6 FHD/YU/Black/NoOS,763.2,https://pc-gamer.me/p/Lenovo-V15-G4-IRU-i7-13620H-1TB-8GB-UHDGraphics-15-6-FHD-YU-Black-NoOS--113359,PC-Gamer
Lenovo V15 G4 IRU 83A10077YA,767.0,https://pc-gamer.me/p/Lenovo-V15-G4-IRU-83A10077YA--99399,PC-Gamer
Lenovo 83HR001VYA,768.3,https://pc-gamer.me/p/Lenovo-83HR001VYA--113146,PC-Gamer
HP 250 G10 725G9EA,775.5,https://pc-gamer.me/p/HP-250-G10-725G9EA--113180,PC-Gamer
Lenovo LOQ 15IAX9/i5-12450HX/512GB/24GB/RTX 3050 6GB/15.6,782.4,https://pc-gamer.me/p/Lenovo-LOQ-15IAX9-i5-12450HX-512GB-24GB-RTX-3050-6GB-15-6--113352,PC-Gamer
Lenovo 83GS00QRYA,788.8,https://pc-gamer.me/p/Lenovo-83GS00QRYA--113155,PC-Gamer
Lenovo ThinkBook 16 G6 IRL,801.6,https://pc-gamer.me/p/Lenovo-ThinkBook-16-G6-IRL--101014,PC-Gamer
Lenovo 83HS0065YA,818.3,https://pc-gamer.me/p/Lenovo-83HS0065YA--113149,PC-Gamer
HP ProBook 440 G10 i5-1334U/16GB/512GB SSD/14,819.6,https://pc-gamer.me/p/HP-ProBook-440-G10-i5-1334U-16GB-512GB-SSD-14--101464,PC-Gamer
ACER ANV15-41-R5H1,841.0,https://pc-gamer.me/p/ACER-ANV15-41-R5H1--111595,PC-Gamer
"Lenovo LOQ 15ARP9 Ryzen5 7235HS / 24GB / 512GB / 15.6""FHD IPS 144Hz / RTX3050 6G",849.0,https://pc-gamer.me/p/Lenovo-LOQ-15ARP9-Ryzen5-7235HS-24GB-512GB-15-6-FHD-IPS-144Hz-RTX3050-6G--107991,PC-Gamer
Lenovo 83DR006GYA,852.9,https://pc-gamer.me/p/Lenovo-83DR006GYA--113153,PC-Gamer
Lenovo 83HR001WYA,894.0,https://pc-gamer.me/p/Lenovo-83HR001WYA--113159,PC-Gamer
HP ProBook 460 G11 U5-125U / 16GB DDR5 / 512GB SSD / 16.0,896.0,https://pc-gamer.me/p/HP-ProBook-460-G11-U5-125U-16GB-DDR5-512GB-SSD-16-0--103934,PC-Gamer
"IdeaPad, IdeaPad 5 2-in-1 14IRU9",896.9,https://pc-gamer.me/p/IdeaPad-IdeaPad-5-2-in-1-14IRU9--105113,PC-Gamer
MSI MSI NB Katana GF66 12UDO-649XSI i7 / 16GB / 512GB,897.0,https://pc-gamer.me/p/MSI-MSI-NB-Katana-GF66-12UDO-649XSI-i7-16GB-512GB--110097,PC-Gamer
Lenovo 83HS0067YA,897.2,https://pc-gamer.me/p/Lenovo-83HS0067YA--113143,PC-Gamer
GIGABYTE G5 GE,899.0,https://pc-gamer.me/p/GIGABYTE-G5-GE--84435,PC-Gamer
HP EliteBook 660 G11 Ultra5 125U/16GB DDR5/512GB/16inch WUXGA IPS/IntellUHD/BacklitYU/NoOS/Silver,910.7,https://pc-gamer.me/p/HP-EliteBook-660-G11-Ultra5-125U-16GB-DDR5-512GB-16inch-WUXGA-IPS-IntellUHD-BacklitYU-NoOS-Silver--108307,PC-Gamer
HP Pavilion x360 14-ek1008nm i5-1335U/16GB/512GB SSD/14inch FHD IPS Touch MicroEdge/IntelIris/NoOS,910.7,https://pc-gamer.me/p/HP-Pavilion-x360-14-ek1008nm-i5-1335U-16GB-512GB-SSD-14inch-FHD-IPS-Touch-MicroEdge-IntelIris-NoOS--95839,PC-Gamer
ACER Nitro AN515 15.6 in,919.0,https://pc-gamer.me/p/ACER-Nitro-AN515-15-6-in--96152,PC-Gamer
Lenovo ThinkBook 16 Ultra 5 125U/512GB/16GB DDR5/16,923.5,https://pc-gamer.me/p/Lenovo-ThinkBook-16-Ultra-5-125U-512GB-16GB-DDR5-16--112898,PC-Gamer
HP EliteBook 640 G11,935.0,https://pc-gamer.me/p/HP-EliteBook-640-G11--107071,PC-Gamer
